docman_category_id,uuid,title,slug,description,image,params,access,access_raw,enabled,locked_on,locked_by,created_on,created_by,modified_on,modified_by,asset_id
49,17b489cb-6fb5-4eb9-8f71-fe6fd5677f65,2008,2008,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:24:17,10,2019-01-07 17:50:42,2023,2051
50,2d1b5d18-e638-4942-bca0-cc9e8a752cac,2007,2007,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:24:26,10,2019-01-07 17:51:19,2023,2052
51,5750fd77-e3f7-4cbf-bd76-b75c3e3617a5,2006,2006,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:24:35,10,2019-01-07 17:51:41,2023,2053
52,d60c7715-47af-428e-bdaa-50c32009a748,2005,2005,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:24:44,10,2019-01-07 17:52:02,2023,2054
53,990b4284-b51b-4406-aef1-768dad3f79a0,2004,2004,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:24:52,10,2019-01-07 17:52:27,2023,2055
54,d91993fc-b845-44ea-9b8f-3ae25bf5d6d8,2003,2003,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:25:01,10,2019-01-07 17:52:57,2023,2056
55,8c990bca-4894-47d5-a8d1-fb3877545a41,2002,2002,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:25:11,10,2019-01-07 17:53:17,2023,2057
56,40c07a1f-30ae-4541-aa44-d6a66ab20b32,2015,2015,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-10-08 19:41:01,10,2019-01-07 17:53:38,2023,2081
57,d0d4d800-a710-48ca-8010-7db4e4a2b075,2016,2016,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-10-08 19:41:14,10,2019-01-07 17:54:02,2023,2082
59,9fc5f60f-bb09-4cab-b5c6-36dc93d497c7,PDF Documents,pdf-documents,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-11-04 16:23:24,10,2014-11-04 16:23:29,10,2095
60,2f3d46e8-46f1-411b-a102-f8d3b14a61a7,Public Assistance Table,public-assistance-table,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-11-11 19:42:55,2023,2015-10-19 22:34:55,2023,2097
61,aa57cda2-9eb6-4f48-8338-97075832188e,California Legal Services Program Legislative and Administrative Letters of Invitation,california-legal-services-program-legislative-and-administrative-letters-of-invitation,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-11-17 20:49:05,10,0000-00-00 00:00:00,0,2112
62,9c5b5e01-b96d-4a9b-b51b-ec8397a30285,LSC Program Invitation Letters,lsc-program-invitation-letters,,,"{""icon"":""folder""}",1,0,1,2016-03-08 02:51:39,2023,2015-02-12 17:16:03,10,0000-00-00 00:00:00,0,2196
63,49843b9c-5cc9-4c3d-82df-80377738038c,Demo,demo,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2015-07-22 20:47:44,2023,0000-00-00 00:00:00,0,2239
64,41189406-2f0b-4750-884b-de3062ee43a1,"CDE, Child Care Development Division",cde-child-care-development-division,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2015-08-18 15:29:45,2023,0000-00-00 00:00:00,0,2257
65,837bc774-a5ea-4229-b1ba-da3e878fd388,CCWRO Press Releases,ccwro-press-releases,,,"{""icon"":""folder""}",1,0,0,0000-00-00 00:00:00,0,2015-08-18 15:49:36,2023,2015-09-27 03:00:31,2023,2258
66,92c69194-795e-4b11-9ef5-2a9728e24e10,Press Clippings,press-clippings,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2015-10-06 21:28:12,2023,0000-00-00 00:00:00,0,2315
67,19726c30-8e1c-49ad-a2cd-5b26f0663386,Covered California Telephone Rosters,covered-california-telephone-rosters,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2015-10-06 21:33:34,2023,0000-00-00 00:00:00,0,2316
68,f9416f16-cad9-4718-9bce-547e2efa9999,1996 TANF Legislation,1996-tanf-legislation,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2016-08-30 16:51:11,2023,2016-08-30 16:51:23,2023,2597
69,5d835a65-9540-4f78-ac64-db29380d2099,CCWRO Agency Contact,ccwro-agency-contact,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2016-08-30 17:00:19,2023,0000-00-00 00:00:00,0,2598
70,b22638db-fdaf-4a6d-9b17-35c1b32f7021,Other Welfare Related State Agencies,other-welfare-related-state-agencies,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2016-08-30 17:00:54,2023,0000-00-00 00:00:00,0,2599
71,5321ec8c-7c04-43fa-b64b-de8ca66780e1,CCWRO Information Notice,ccwro-information-notice,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2016-09-23 19:14:36,2023,0000-00-00 00:00:00,0,2612
72,e6bc88cf-9f7f-4564-8f5f-d59fe54a5da0,2016,2016-1,,,"{""icon"":""folder""}",1,0,0,0000-00-00 00:00:00,0,2016-12-10 00:25:54,2023,2019-01-07 17:54:23,2023,2661
73,ed63f2aa-2b74-4b25-9abb-9e653375b0b9,2017,2017,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2016-12-10 00:26:44,2023,2019-01-07 17:55:09,2023,2662
74,1a204583-7307-475f-9d05-d7cdd219af39,FNS Region IX rosters,dss-contacts-documents,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2017-02-09 19:21:24,2023,2017-07-15 05:03:15,2023,2692
75,9e50abca-73d7-497b-8fb3-b43f22736579,Factsheets,factsheets,<p>Factsheets &amp; Sample letter</p>,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2017-02-21 15:53:55,2023,2017-03-10 20:01:18,2023,2701
76,6a150213-c08a-44c9-bf8f-e3b1e62be9e8,Sample Letters,sample-letters,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2017-03-10 19:59:28,2023,0000-00-00 00:00:00,0,2740
77,bb95f5a5-ff97-4d50-9f8f-3e451b02961f,Other DSS Contact Lists,other-dss-contact-lists,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2017-08-15 15:05:52,2023,0000-00-00 00:00:00,0,2910
78,c3671715-575a-4891-833a-fd351963a400,2018,2018,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2017-12-30 01:17:08,2023,2019-01-07 17:58:01,2023,3070
79,1e70f20d-0c68-4164-9a6c-1a350e5e84cf,CalWORKs Annual State Reports,welfare-information,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2018-08-10 17:04:09,2023,2020-04-21 13:40:03,2023,3256
80,90f9c775-8175-4e8f-a0ae-a2edf24429e1,2019,2019,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2018-10-30 00:00:28,2023,0000-00-00 00:00:00,0,3338
81,43525447-5331-4e74-9d98-933e7391861d,CDSS County Monitoring Schedule and Reports,cdss-county-monitoring-schedule-and-reports,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2018-11-04 06:12:59,2023,0000-00-00 00:00:00,0,3342
82,f3d076e1-dee0-4412-a188-78cb9ade54aa,welfare advocates,welfare-advocates,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2019-10-06 21:48:54,2023,0000-00-00 00:00:00,0,3540
83,f082a302-2b5b-4a92-aef4-3be56f4102c1,2020,2020,,,"{""icon"":""folder""}",1,0,1,2020-06-16 14:55:52,2023,2020-01-24 21:14:22,2023,0000-00-00 00:00:00,0,3569
84,8a1b76b7-be45-45a1-bb1f-36463d978bc5,California State office of systems integration,california-state-office-of-systems-integration,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2020-01-24 21:16:38,2023,0000-00-00 00:00:00,0,3570
85,9d8459f7-1700-45dd-8f29-250497468b30,COVID-19 Updates!,covid-19-updates,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2020-04-05 01:06:46,2023,0000-00-00 00:00:00,0,3604
86,6299ebd1-0ca0-4665-b0ce-e1ba171e4ec8,2021,2021,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2021-02-15 17:09:05,2023,0000-00-00 00:00:00,0,3803
